stable_id	subject	kind	producer	state	authority	reproducibility	currentness	durable_consumer	evidence	disposition	rationale
P-13	.planning/phases/163-deterministic-release-path-timeout-repairs/163-PROOF.md	protected-ci-proof	Phase 163 protected CI audit	tracked	Phase 163 exact protected run	captured from exact protected run and SHA	historical	Phase 164 closeout	git ls-files; run 33002642359	retain	Durable final protected CI proof.
P-14	.planning/phases/163-deterministic-release-path-timeout-repairs/163-VERIFICATION.md	protected-ci-proof	Phase 163 verifier	tracked	Phase 163 requirement verification	derived from exact protected evidence	historical	Phase 164 closeout	git ls-files; run 33002642359	retain	Durable exact protected verification.
P-15	.github/scheduled-controls.json	scheduled-control-contract	GitHub scheduled-control registry	tracked	executable scheduled-control contract	reproducible from repository configuration	current	scheduled evidence scripts and workflow	git ls-files; scripts/scheduled_control_evidence.sh	retain	Durable scheduled-control registry.
M-01	.planning/phases/164-repository-truth-reconciliation-and-closeout/164-TRUTH-DISPOSITION.tsv	planning-artifact	Phase 164 disposition audit	tracked	D-05 through D-12	regenerable from audited Git state	current	Phase 164 closeout contract	164-04-PLAN.md	retain	Tracked durable disposition authority.
M-02	test/scripts/phase_164_repository_truth_test.exs	contract-test	Phase 164 repository truth contract	tracked	D-05 through D-12	regenerable from source	current	mix test repository truth gate	164-04-PLAN.md	retain	Mechanical repository-truth gate.
M-03	MAINTAINING.md	maintainer-guidance	Phase 164 maintainer reconciliation	tracked	current executable authority projection	reproducible from release controls	current	maintainer release gate	164-02-PLAN.md	retain	Durable human maintainer entry point.
M-04	test/mailglass/publish/maintaining_release_gate_contract_test.exs	contract-test	Phase 164 maintainer reconciliation	tracked	maintainer release contract	reproducible from source	current	mix test maintainer guidance gate	164-02-PLAN.md	retain	Mechanical maintainer guidance contract.
M-05	README.md	package-guidance	Phase 164 package compatibility reconciliation	tracked	package manifest compatibility	reproducible from manifests	current	adopter documentation	164-03-PLAN.md	retain	Durable core compatibility guidance.
M-06	mailglass_admin/README.md	package-guidance	Phase 164 package compatibility reconciliation	tracked	admin package manifest compatibility	reproducible from manifests	current	adopter documentation	164-03-PLAN.md	retain	Durable admin compatibility guidance.
M-07	mailglass_inbound/README.md	package-guidance	Phase 164 package compatibility reconciliation	tracked	inbound package manifest compatibility	reproducible from manifests	current	adopter documentation	164-03-PLAN.md	retain	Durable inbound compatibility guidance.
M-08	test/mailglass/docs_contract_test.exs	contract-test	Phase 164 package compatibility reconciliation	tracked	manifest-derived docs contract	reproducible from source	current	mix test documentation gate	164-03-PLAN.md	retain	Mechanical package documentation contract.
M-09	scripts/closeout_repository_truth.sh	closeout-script	Phase 164 closeout plan	tracked	D-09 through D-12	regenerable from plan source	current	rerunnable closeout report	164-05-PLAN.md	retain	Tracked closeout command remains the executable consumer of repository truth.
M-10	test/scripts/phase_164_closeout_test.exs	contract-test	Phase 164 closeout plan	tracked	D-09 through D-12	regenerable from plan source	current	mix test closeout contract	164-05-PLAN.md	retain	Tracked closeout contract rejects deceptive closeout verdicts.
M-11	.planning/phases/164-repository-truth-reconciliation-and-closeout/164-CLOSEOUT.md	closeout-report	Phase 164 closeout plan	tracked	D-09 through D-12	regenerable from exact main state	current	maintainer closeout reader	164-05-PLAN.md	retain	Tracked closeout reader records the rerunnable closeout contract.
M-12	scripts/validate_repository_truth.exs	repository-truth-validator	Phase 164 shared ledger validation	tracked	D-05 through D-12	regenerable from source	current	closeout repository truth gate	164-08-PLAN.md	retain	Tracked shared validator is the authoritative parser and audit inventory seam.
M-13	.planning/phases/164-repository-truth-reconciliation-and-closeout/164-VERIFICATION.md	verification-report	Phase 164 verifier	tracked	Phase 164 verification authority	regenerable from tracked verification process	current	closeout repository truth gate	git ls-files; 164-08-PLAN.md	retain	Tracked verification artifact records closeout evidence and remaining gaps.
M-14	.gitignore	repository-ignore-contract	Phase 164 finalization boundary	tracked	D-07 and D-09	regenerable from repository source	current	GSD runtime and extension boundary	git ls-files; 164-11-PLAN.md	retain	Tracked ignore contract keeps runtime state private while exposing only the durable finalizer extension.
M-15	.gsd/extensions/finalize-phase/extension-manifest.json	gsd-extension-manifest	Phase 164 finalization boundary	tracked	D-09 and D-10	regenerable from extension source	current	GSD project extension loader	git ls-files; 164-11-PLAN.md	retain	Versioned community manifest declares exactly the finalize-phase command.
M-16	.gsd/extensions/finalize-phase/index.ts	gsd-extension-command	Phase 164 finalization boundary	tracked	D-09 through D-11	regenerable from extension source	current	maintainer finalization command	git ls-files; 164-11-PLAN.md	retain	Tracked dispatcher validates one phase finalizer and invokes it without exposing runtime state.
M-17	scripts/finalize_phase_164.sh	finalization-script	Phase 164 finalization boundary	tracked	D-09 through D-12	regenerable from plan source	current	post-completion operational proof	git ls-files; 164-11-PLAN.md	retain	Tracked no-output finalizer selects and independently validates attempt-1 exact-main evidence.
M-18	.planning/phases/164-repository-truth-reconciliation-and-closeout/164-FINALIZE.sh	finalization-shim	Phase 164 finalization boundary	tracked	D-09 and D-10	regenerable from plan source	current	finalize-phase extension dispatcher	git ls-files; 164-11-PLAN.md	retain	Tracked phase shim binds generic command discovery to the Phase 164 production finalizer.
M-19	.planning/phases/164-repository-truth-reconciliation-and-closeout/164-FINALIZATION.md	finalization-guidance	Phase 164 finalization boundary	tracked	D-09 through D-12	regenerable from settled lifecycle contract	current	maintainer closeout reader	git ls-files; 164-11-PLAN.md	retain	Durable guidance separates pre-verification proof from post-completion terminal evidence.
M-20	scripts/ci_monitor.cjs	ci-evidence-client	Phase 164 finalization boundary	tracked	D-11	regenerable from source	current	closeout CI identity validation	git ls-files; 164-11-PLAN.md	retain	CI list and view envelopes expose run attempt for exact attempt-1 validation.
M-21	scripts/scheduled_control_evidence.sh	scheduled-control-verifier	Phase 164 finalization boundary	tracked	D-11	regenerable from protected GitHub evidence	current	closeout scheduled evidence validation	git ls-files; 164-11-PLAN.md	retain	Authoritative scheduled evidence persists and requires attempt-1 run provenance.
M-22	test/scripts/scheduled_control_evidence_test.exs	contract-test	Phase 164 finalization boundary	tracked	D-11	regenerable from source	current	mix test scheduled evidence gate	git ls-files; 164-11-PLAN.md	retain	Mechanical contracts reject rerun attempts and retain attempt-1 source identity.
I-001	ignore:.gitignore:/_build/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-002	ignore:.gitignore:/cover/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-003	ignore:.gitignore:/deps/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-004	ignore:.gitignore:/doc/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-005	ignore:.gitignore:/.fetch	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-006	ignore:.gitignore:erl_crash.dump	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-007	ignore:.gitignore:*.ez	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-008	ignore:.gitignore:*.beam	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-009	ignore:.gitignore:/config/*.secret.exs	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-010	ignore:.gitignore:.elixir_ls/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-011	ignore:.gitignore:/tmp/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-012	ignore:.gitignore:/test/tmp/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-013	ignore:.gitignore:/mailglass_admin/node_modules/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-014	ignore:.gitignore:/mailglass_admin/test-results/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-015	ignore:.gitignore:/mailglass_admin/playwright-report/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-016	ignore:.gitignore:/reference/demo_app/tmp/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-017	ignore:.gitignore:/reference/demo_app/assets/test-results/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-018	ignore:.gitignore:/reference/demo_app/assets/playwright-report/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-019	ignore:.gitignore:/mailglass-*.tar	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-020	ignore:.gitignore:/mailglass_admin/*.tar	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-021	ignore:.gitignore:/.env	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-022	ignore:.gitignore:/mailglass_admin/tailwind-macos-*	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-023	ignore:.gitignore:/mailglass_admin/tailwind-darwin-*	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-024	ignore:.gitignore:/mailglass_admin/tailwind-linux-*	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-025	ignore:.gitignore:/mailglass_admin/tailwind-windows-*	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-026	ignore:.gitignore:.DS_Store	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-027	ignore:.gitignore:**/.DS_Store	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-028	ignore:.gitignore:/.planning/research/**/.cache/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-029	ignore:.gitignore:/.claude/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-030	ignore:.gitignore:/.bg-shell/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-031	ignore:.gitignore:/.cursor/	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-032	ignore:.gitignore:/.gsd/*	ignore-rule	GSD runtime state producer	ignored	.gitignore	regenerable machine-local output	current	finalize-phase extension boundary	.gitignore rule; 164-11-PLAN.md	ignore	GSD databases, exec logs, and arbitrary local runtime children remain ignored.
I-069	ignore:.gitignore:!/.gsd/extensions/	ignore-rule	GSD project extension loader	ignored	.gitignore	reproducible loader boundary	current	finalize-phase extension boundary	.gitignore rule; 164-11-PLAN.md	ignore	Re-includes only the extensions parent so the named versioned child can be considered.
I-070	ignore:.gitignore:/.gsd/extensions/*	ignore-rule	GSD project extension loader	ignored	.gitignore	regenerable extension-local state	current	finalize-phase extension boundary	.gitignore rule; 164-11-PLAN.md	ignore	Unknown sibling extensions remain ignored rather than becoming repository artifacts.
I-071	ignore:.gitignore:!/.gsd/extensions/finalize-phase/	ignore-rule	Phase 164 finalization boundary	ignored	.gitignore	reproducible loader boundary	current	GSD project extension loader	.gitignore rule; 164-11-PLAN.md	ignore	Re-includes exactly the durable finalize-phase extension while all sibling runtime state stays ignored.
I-033	ignore:.gitignore:/.mcp.json	ignore-rule	shared project tooling producer	ignored	.gitignore	regenerable machine-local output	current	none	.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-034	ignore:mailglass_admin/.gitignore:/_build/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-035	ignore:mailglass_admin/.gitignore:/cover/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-036	ignore:mailglass_admin/.gitignore:/deps/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-037	ignore:mailglass_admin/.gitignore:/doc/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-038	ignore:mailglass_admin/.gitignore:/.fetch	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-039	ignore:mailglass_admin/.gitignore:erl_crash.dump	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-040	ignore:mailglass_admin/.gitignore:*.ez	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-041	ignore:mailglass_admin/.gitignore:/tmp/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-042	ignore:mailglass_admin/.gitignore:*.log	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-043	ignore:mailglass_admin/.gitignore:/.elixir_ls/	ignore-rule	shared project tooling producer	ignored	mailglass_admin/.gitignore	regenerable machine-local output	current	none	mailglass_admin/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-044	ignore:mailglass_inbound/.gitignore:/_build/	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-045	ignore:mailglass_inbound/.gitignore:/cover/	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-046	ignore:mailglass_inbound/.gitignore:/deps/	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-047	ignore:mailglass_inbound/.gitignore:/doc/	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-048	ignore:mailglass_inbound/.gitignore:/.fetch	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-049	ignore:mailglass_inbound/.gitignore:erl_crash.dump	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-050	ignore:mailglass_inbound/.gitignore:*.ez	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-051	ignore:mailglass_inbound/.gitignore:*.beam	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-052	ignore:mailglass_inbound/.gitignore:/config/*.secret.exs	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-053	ignore:mailglass_inbound/.gitignore:.elixir_ls/	ignore-rule	shared project tooling producer	ignored	mailglass_inbound/.gitignore	regenerable machine-local output	current	none	mailglass_inbound/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-054	ignore:reference/demo_app/.gitignore:/_build/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-055	ignore:reference/demo_app/.gitignore:/deps/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-056	ignore:reference/demo_app/.gitignore:/assets/node_modules/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-057	ignore:reference/demo_app/.gitignore:/assets/test-results/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-058	ignore:reference/demo_app/.gitignore:/assets/playwright-report/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-059	ignore:reference/demo_app/.gitignore:/tmp/	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-060	ignore:reference/demo_app/.gitignore:.env	ignore-rule	shared project tooling producer	ignored	reference/demo_app/.gitignore	regenerable machine-local output	current	none	reference/demo_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-061	ignore:reference/host_app/.gitignore:/_build/	ignore-rule	shared project tooling producer	ignored	reference/host_app/.gitignore	regenerable machine-local output	current	none	reference/host_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-062	ignore:reference/host_app/.gitignore:/deps/	ignore-rule	shared project tooling producer	ignored	reference/host_app/.gitignore	regenerable machine-local output	current	none	reference/host_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-063	ignore:reference/host_app/.gitignore:/.elixir_ls/	ignore-rule	shared project tooling producer	ignored	reference/host_app/.gitignore	regenerable machine-local output	current	none	reference/host_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-064	ignore:reference/host_app/.gitignore:/erl_crash.dump	ignore-rule	shared project tooling producer	ignored	reference/host_app/.gitignore	regenerable machine-local output	current	none	reference/host_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-065	ignore:reference/host_app/.gitignore:/.env	ignore-rule	shared project tooling producer	ignored	reference/host_app/.gitignore	regenerable machine-local output	current	none	reference/host_app/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-066	ignore:test/example/.gitignore:*	ignore-rule	shared project tooling producer	ignored	test/example/.gitignore	regenerable machine-local output	current	test fixture allowlist	test/example/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-067	ignore:test/example/.gitignore:!.gitignore	ignore-rule	shared project tooling producer	ignored	test/example/.gitignore	regenerable machine-local output	current	test fixture allowlist	test/example/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
I-068	ignore:test/example/.gitignore:!README.md	ignore-rule	shared project tooling producer	ignored	test/example/.gitignore	regenerable machine-local output	current	test fixture allowlist	test/example/.gitignore rule	ignore	Narrow scoped rule for its named shared producer.
